CityCode,City,Country,Latitude,Longitude
381,Abu Dhabi,AE,24.45118,54.39696
386,Buenos Aires,AR,-34.61315,-58.37723
107,Graz,AT,47.06667,15.45
137,Innsbruck,AT,47.26266,11.39454
173,Linz,AT,48.30639,14.28611
286,Salzburg,AT,47.79941,13.04399
357,Vienna,AT,48.20849,16.37208
40,Brisbane,AU,-27.46794,153.02809
500,Canberra,AU,-35.28346,149.12807
78,Darwin,AU,-12.46113,130.84185
190,Melbourne,AU,-37.814,144.96332
219,Newcastle,AU,-32.92953,151.7801
245,Perth,AU,-31.95224,115.8614
323,Sydney,AU,-33.86785,151.20732
363,Wollongong,AU,-34.424,150.89345
443,Sarajevo,BA,43.84864,18.35644
448,Tuzla,BA,44.53842,18.66709
450,Zenica,BA,44.20169,17.90397
11,Antwerpen,BE,51.22047,4.40026
43,Brussels,BE,50.85045,4.34878
56,Charleroi,BE,50.41136,4.44448
103,Gent,BE,51.05,3.71667
168,Liège,BE,50.63373,5.56749
211,Namur,BE,50.4669,4.86746
387,Burgas,BG,42.50606,27.46781
481,Plovdiv,BG,42.15,24.75
412,Sofia,BG,42.69751,23.32415
67,Cochabamba,BO,-17.3895,-66.1568
278,São José dos Campos,BR,-23.17944,-45.88694
279,São Paulo,BR,-23.5475,-46.63611
528,Vitória,BR,-20.31944,-40.33778
49,Calgary,CA,51.05011,-114.08529
89,Edmonton,CA,53.55014,-113.46871
431,Halifax,CA,44.6464,-63.57291
118,Hamilton,CA,43.25011,-79.84963
153,Kitchener,CA,43.42537,-80.5112
176,London,CA,42.98339,-81.23304
195,Mississauga,CA,43.5789,-79.6583
200,Montréal,CA,45.50884,-73.58781
236,Ottawa,CA,45.41117,-75.69812
263,Québec,CA,46.81228,-71.21454
319,Surrey,CA,49.10635,-122.82509
341,Toronto,CA,43.70011,-79.4163
354,Vancouver,CA,49.24966,-123.11934
356,Victoria,CA,48.4359,-123.35155
362,Winnipeg,CA,49.8844,-97.14704
379,Zürich,CH,47.36667,8.55
389,Calama,CL,-22.45667,-68.92371
69,Concepción,CL,-36.82699,-73.04977
265,Quilpué,CL,-33.04752,-71.44249
294,Santiago,CL,-33.45694,-70.64827
489,Talca,CL,-35.4264,-71.65542
416,Temuco,CL,-38.73965,-72.59842
12,Anyang,CN,36.096,114.38278
23,Beijing,CN,39.9075,116.39723
52,Changchun,CN,43.88,125.32278
53,Changsha,CN,28.19874,112.97087
55,Changzhou,CN,31.77359,119.95401
57,Chengdu,CN,30.66667,104.06667
64,Chongqing,CN,29.56278,106.55278
82,Dongguan,CN,23.01797,113.74866
93,Foshan,CN,23.02677,113.13148
97,Fushun,CN,41.88669,123.94363
