"","Variable","N","R2","MRSE","MAE","r","Intercept","Slope","onpoint.R2"
"1","no2_measured_ug.m3.mean","530","0.344952361767908","7.77272932475372","5.63272987283035","0.626027476506309","4.50457724655231","0.747685065989524","0.984011187093692"
"2","ug_m2_troposphere_no2.mean","530","0.798500889018806","1143.45363717397","738.228339909246","0.896028410456079","75.6324315392076","0.9459541916533","0.995920710421223"
"3","ter_pressure.mean","530","0.676958456340656","36.2686615713479","21.5354714612707","0.822947628897958","-17.6630135938187","1.01760395732943","0.997917475570326"
"4","temp.mean","530","0.842088300920235","2.5965354951534","1.5638233994968","0.918676712976241","-0.821084045139863","1.04569749530237","0.999173057076077"
"5","ndvi.mean","530","0.548632138561706","0.0952123176377545","0.0680560262254176","0.748319740932958","0.0589157459218234","0.875751331990238","0.994424682261194"
"6","precipitation.mean","530","0.868558366218511","0.0224736000144404","0.0123192992009437","0.932052661542884","-0.00165796934734371","1.00906918282044","0.9993770230242"
"7","PBLH.mean","530","0.779761384231884","101.275707612988","53.3426647155503","0.883298381488428","-18.0248818955934","1.02432627018546","0.999081525047097"
"8","Y2016.mean","530","0.144246663877254","0.0544362697531213","0.0275636226240061","0.459931609362698","0.0371162035398978","0.639388513052587","0.978443783440121"
"9","Y2017.mean","530","0.238927244185812","0.0446252061869147","0.0238139083381558","0.522772686855633","0.0242592230063048","0.738320753336177","0.983106317971217"
"10","Y2018.mean","530","0.14732549721388","0.0515659060029216","0.0222966932554622","0.422280377606789","0.0340348217262423","0.705936243859797","0.993586752308047"
"11","Y2019.mean","530","0.0296350721831574","0.0722791537156326","0.0358261936048413","0.378783427023434","0.092271146217579","0.529452196802758","0.985901146308142"
"12","Y2020.mean","530","0.0713043383263581","0.088803844944229","0.0426480262751737","0.395521121727193","0.0929927748630353","0.575606018772425","0.98624793668557"
"13","Y2021.mean","530","-0.121524292784658","0.100420854770849","0.0442820698331586","0.216114545549602","0.117340138388905","0.345081061235216","0.994073633704919"
