"","Variable","N","R2","MRSE","MAE","r","Intercept","Slope","onpoint.R2"
"1","ug_m2_troposphere_no2","530","0.675435320956345","0.000849408273406336","0.000380758474962471","0.825847861571566","-9.3073057550824e-05","1.10899840159726","0.998732544257872"
"2","ter_pressure","530","0.779851730333421","0.147762700882935","0.0791323676750981","0.883390948175993","0.00300189476391433","1.02093017851748","0.998554484768865"
"3","temp","530","0.601075771439126","0.31989806785903","0.101883455948167","0.777588404818278","0.0149112205755283","1.07957584378672","0.9990588366898"
"4","ndvi","530","0.792765048017371","16.8152128501765","6.49094154336723","0.89150363719371","1.0650122034111","1.0526645747631","0.999283382843635"
"5","precipitation","530","0.754601039483847","14.2103877534906","5.288438405193","0.869266647535664","0.682083099782277","1.03657410166973","0.999073075972107"
"6","PBLH","530","0.723785052383261","0.00439309480103276","0.00211910822596645","0.852366715198563","0.000511875677307233","1.05379348546163","0.998318682246474"
"7","Y2016","530","0.723785052383261","0.00439309480103276","0.00211910822596645","0.852366715198563","0.000511875677307233","1.05379348546163","0.998474765810316"
"8","Y2017","530","0.718885045183816","3.16074946426886","1.37816748439804","0.848127618094771","0.0812873290324611","1.0214487469786","0.998703291626196"
"9","Y2018","530","0.550897892208639","6.7265005335023","1.98596446460805","0.742518962270576","0.217677407941776","1.0094822448892","0.998278700241011"
"10","Y2019","530","0.725030338409089","3.64173136421518","1.55530734140779","0.851893723105896","0.150196565463538","1.02847687562476","0.99870766919021"
"11","Y2020","530","0.752835832295631","3.27279920795057","1.44257465076703","0.867894241961433","0.169646877474261","1.01281858900555","0.998679998154509"
"12","Y2021","530","0.768159708722248","3.79120109249983","1.64291599736327","0.876882217271441","0.222620683777073","1.0292862207142","0.998739567319772"
